ticker,origin,monthly_reference_id,weekly_reference_id,monthly_grade,weekly_grade,monthly_formation_date,weekly_formation_date,event_date,entry_date,r5,mfe5,mae5,r10,mfe10,mae10,master_grade,signal_id,year,sample,is_exact_confluence
APPS,monthly_only,A012,,A,,2019-09-30,,2019-10-04,2019-10-07,0.0,0.020249238768851,-0.0607476420328533,0.0218068325267704,0.0373831414744636,-0.0607476420328533,A,MT-027,2019,2019-2022,False
B,weekly_incremental,,W-B-20191004,,A,,2019-09-27,2019-10-04,2019-10-07,-0.0357344210340382,0.0328985403561545,-0.0385704529912173,-0.0249570663436579,0.0328985403561545,-0.0612590789911209,A,MT-028,2019,2019-2022,False
SNAP,monthly_only,A013,,A,,2019-10-31,,2019-11-04,2019-11-05,-0.0607049197145651,0.0019582694022926,-0.0887728253112639,-0.041122723693902,0.0019582694022926,-0.1187989380599725,A,MT-029,2019,2019-2022,False
TSLA,monthly_only,A014,,A,,2020-02-28,,2020-03-06,2020-03-09,-0.0970778992769063,0.1034209307277902,-0.170782452140401,-0.2937940579531656,0.1034209307277902,-0.4210178737021331,A,MT-035,2020,2019-2022,False
RPAY,weekly_incremental,,W-RPAY-20200415,,A,,2020-04-09,2020-04-15,2020-04-16,0.078074158633703,0.0871827722115061,-0.0696161159916168,0.1691606666983938,0.2329213340296747,-0.0696161159916168,A,MT-037,2020,2019-2022,False
NTRA,weekly_incremental,,W-NTRA-20200515,,A,,2020-05-08,2020-05-15,2020-05-18,-0.0252947538387792,0.0355841327570209,-0.0441586560752466,-0.0679528805992435,0.0355841327570209,-0.1097535386733422,A,MT-039,2020,2019-2022,False
TGTX,monthly_only,A015,,A,,2020-05-29,,2020-06-02,2020-06-03,-0.0198925178303766,0.0500000153818434,-0.077419381963681,-0.0220430020969554,0.0500000153818434,-0.1096774663273499,A,MT-040,2020,2019-2022,False
FVRR,weekly_incremental,,W-FVRR-20200624,,A,,2020-06-19,2020-06-24,2020-06-25,0.0829492267327647,0.099798387982825,-0.0189372464742617,0.2307027085228596,0.2391993091354964,-0.0189372464742617,A,MT-041,2020,2019-2022,False
MRNA,weekly_incremental,,W-MRNA-20200630,,A,,2020-06-26,2020-06-30,2020-07-01,-0.0225396534753223,0.0115872943212116,-0.114126962328714,0.2733333527095734,0.4026984562949529,-0.114126962328714,A,MT-042,2020,2019-2022,False
MRNA,monthly_only,A017,,A,,2020-07-31,,2020-08-04,2020-08-05,-0.1099496306354904,0.0,-0.135372282268111,-0.1349851512818692,0.0,-0.1582138965649411,A,MT-044,2020,2019-2022,False
BE,monthly_only,A018,,A,,2020-08-31,,2020-09-02,2020-09-03,-0.1692771298218433,0.0012048468255456,-0.2048193068718208,-0.1234939845557618,0.0012048468255456,-0.2048193068718208,A,MT-046,2020,2019-2022,False
OVID,weekly_incremental,,W-OVID-20200909,,A,,2020-09-04,2020-09-09,2020-09-10,0.1573426797865804,0.1888112657617819,-0.0157342096244582,0.0139860845240578,0.2062937672129259,-0.0157342096244582,A,MT-047,2020,2019-2022,False
FLGT,weekly_incremental,,W-FLGT-20200929,,A,,2020-09-25,2020-09-29,2020-09-30,0.0584878507882029,0.1219685469785938,-0.0764621849326355,-0.0033286542980145,0.1219685469785938,-0.0764621849326355,A,MT-048,2020,2019-2022,False
